"filename", "language", "Python", "Markdown", "YAML", "HTML", "pip requirements", "Docker", "Shell Script", "Properties", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "CSS", "XML", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\pages\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 12, 112
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\kafka_worker.py", "Python", 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 18, 354
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\main.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 78
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\models.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\requirements.txt", "pip requirements", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
